Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Tdap,States,Pennsylvania,2022,Age,25-34 Years,81.8,77.4 to 85.6,704,PA,2022,3477800,223600,2.644297706261051
Influenza,States,Pennsylvania,2022,Age,>=18 Years,55.8,51.7 to 59.8,1261,PA,2022,3477800,223600,2.644297706261051
Influenza,States,Pennsylvania,2022,Age,>=35 Years,64.7,57.0 to 71.9,317,PA,2022,3477800,223600,2.644297706261051
Tdap,States,Pennsylvania,2022,Age,>=18 Years,78.9,75.4 to 82.1,1207,PA,2022,3477800,223600,2.644297706261051
Tdap,States,Pennsylvania,2022,Age,>=35 Years,78.7,71.4 to 84.8,303,PA,2022,3477800,223600,2.644297706261051
Influenza,States,Pennsylvania,2020,Race and Ethnicity,"Black, Non-Hispanic",48.4,38.5 to 58.4,156,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2012,Race and Ethnicity,"Black, Non-Hispanic",56.0,43.1 to 68.3,93,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2012,Race and Ethnicity,Hispanic,39.0,25.9 to 53.4,68,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2020,Age,25-34 Years,67.5,63.5 to 71.4,729,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2020,Age,18-24 Years,53.7,45.6 to 61.7,200,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2020,Age,>=35 Years,65.4,58.1 to 72.2,254,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2012,Age,25-34 Years,50.0,44.8 to 55.2,474,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2012,Age,>=35 Years,52.1,41.3 to 62.7,126,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2012,Age,18-24 Years,38.1,29.9 to 46.9,171,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2020,Race and Ethnicity,"White, Non-Hispanic",65.4,61.4 to 69.3,744,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,60,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2012,Race and Ethnicity,"White, Non-Hispanic",46.4,41.6 to 51.2,548,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.1,63.4 to 83.1,121,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2020,Race and Ethnicity,Hispanic,69.4,60.6 to 77.2,155,PA,2020,NA,NA,2.644297706261051
Influenza,States,Pennsylvania,2012,Age,>=18 Years,47.3,43.2 to 51.4,771,PA,2012,3381500,466600,2.644297706261051
Influenza,States,Pennsylvania,2020,Age,>=18 Years,64.5,61.3 to 67.6,1183,PA,2020,NA,NA,2.644297706261051
Influenza,States,Georgia,2020,Age,>=18 Years,40.9,36.1 to 45.9,671,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2012,Age,>=18 Years,33.6,29.6 to 37.7,1007,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2012,Age,18-24 Years,27.6,21.2 to 34.8,405,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,50,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2020,Race and Ethnicity,Hispanic,32.9,22.2 to 45.1,111,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2020,Race and Ethnicity,"Black, Non-Hispanic",23.3,16.8 to 30.9,262,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2012,Race and Ethnicity,"Black, Non-Hispanic",20.3,14.7 to 26.9,367,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2012,Race and Ethnicity,Hispanic,30.6,20.9 to 41.8,129,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2020,Race and Ethnicity,"White, Non-Hispanic",57.0,48.9 to 64.8,245,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,61,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2012,Race and Ethnicity,"White, Non-Hispanic",44.2,38.0 to 50.5,443,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2020,Age,>=35 Years,50.8,38.0 to 63.5,116,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2012,Age,25-34 Years,35.7,30.2 to 41.5,469,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2012,Age,>=35 Years,37.4,27.1 to 48.6,133,GA,2012,2340700,740900,2.875627286519154
Influenza,States,Georgia,2020,Age,25-34 Years,42.8,36.4 to 49.4,386,GA,2020,NA,NA,2.875627286519154
Influenza,States,Georgia,2020,Age,18-24 Years,29.9,21.3 to 39.7,169,GA,2020,NA,NA,2.875627286519154
Influenza,States,New Jersey,2019,Age,>=18 Years,56.8,53.6 to 60.0,1070,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Age,18-24 Years,45.6,36.7 to 54.7,147,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Age,25-34 Years,56.8,52.6 to 60.9,651,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Age,>=35 Years,63.3,56.8 to 69.4,272,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Race and Ethnicity,"White, Non-Hispanic",62.7,57.2 to 68.0,363,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Race and Ethnicity,"Black, Non-Hispanic",39.4,31.7 to 47.5,189,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Race and Ethnicity,Hispanic,50.6,44.8 to 56.4,310,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.4,63.0 to 77.1,194,NJ,2019,2410500,261200,1.958188556980744
Influenza,States,New Jersey,2017,Age,>=18 Years,52.1,49.0 to 55.2,1200,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Age,18-24 Years,39.4,31.1 to 48.1,166,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Age,25-34 Years,51.9,47.9 to 55.8,736,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Age,>=35 Years,59.6,53.5 to 65.5,298,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Race and Ethnicity,"White, Non-Hispanic",57.0,51.8 to 62.1,421,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Race and Ethnicity,"Black, Non-Hispanic",34.0,27.3 to 41.3,207,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Race and Ethnicity,Hispanic,52.4,46.4 to 58.3,307,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",53.8,47.2 to 60.3,254,NJ,2017,2477200,265700,1.958188556980744
Influenza,States,New Jersey,2016,Age,>=18 Years,51.2,48.2 to 54.2,1250,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Age,18-24 Years,48.1,40.3 to 56.0,199,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Age,25-34 Years,51.7,47.8 to 55.6,771,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Age,>=35 Years,51.8,45.3 to 58.3,280,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Race and Ethnicity,"White, Non-Hispanic",54.1,48.9 to 59.2,426,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Race and Ethnicity,"Black, Non-Hispanic",31.2,24.6 to 38.5,203,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Race and Ethnicity,Hispanic,50.0,44.4 to 55.6,334,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.9,57.7 to 69.8,277,NJ,2016,2481400,254000,1.958188556980744
Influenza,States,New Jersey,2018,Age,>=18 Years,54.0,50.8 to 57.1,1153,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Age,18-24 Years,46.9,38.2 to 55.8,154,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Age,25-34 Years,55.4,51.3 to 59.4,707,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Age,>=35 Years,54.3,48.0 to 60.5,292,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Race and Ethnicity,"White, Non-Hispanic",56.8,51.4 to 62.1,381,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Race and Ethnicity,"Black, Non-Hispanic",39.0,31.8 to 46.6,206,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Race and Ethnicity,Hispanic,50.6,44.9 to 56.3,324,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.0,57.8 to 71.7,234,NJ,2018,2456000,243900,1.958188556980744
Influenza,States,New Jersey,2022,Race and Ethnicity,"White, Non-Hispanic",54.9,49.0 to 60.7,304,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Race and Ethnicity,"Black, Non-Hispanic",40.6,31.5 to 50.2,131,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Race and Ethnicity,Hispanic,49.6,43.3 to 55.9,264,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.4,55.4 to 70.9,179,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Age,>=18 Years,52.4,48.8 to 55.9,886,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Age,>=35 Years,56.6,50.0 to 63.0,259,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Age,18-24 Years,40.5,28.7 to 53.1,77,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2022,Age,25-34 Years,52.6,48.1 to 57.1,550,NJ,2022,2510600,226100,1.958188556980744
Influenza,States,New Jersey,2012,Age,>=18 Years,38.6,35.3 to 42.0,1021,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2012,Age,18-24 Years,30.7,23.3 to 38.9,179,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2020,Age,>=18 Years,60.8,57.5 to 64.0,1065,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2020,Race and Ethnicity,"White, Non-Hispanic",63.9,58.3 to 69.2,348,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",42.0,35.2 to 49.0,238,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2012,Race and Ethnicity,"White, Non-Hispanic",41.6,36.1 to 47.3,351,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2020,Race and Ethnicity,Hispanic,59.1,53.2 to 64.8,301,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.6,62.2 to 76.3,214,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2020,Race and Ethnicity,"Black, Non-Hispanic",44.6,37.1 to 52.3,198,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2012,Race and Ethnicity,"Black, Non-Hispanic",33.1,25.6 to 41.3,192,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2012,Race and Ethnicity,Hispanic,35.0,28.7 to 41.7,239,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2020,Age,18-24 Years,55.2,46.2 to 63.9,148,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2020,Age,25-34 Years,58.6,54.2 to 62.9,622,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2020,Age,>=35 Years,68.2,62.1 to 73.9,295,NJ,2020,NA,NA,1.958188556980744
Influenza,States,New Jersey,2012,Age,25-34 Years,40.1,35.9 to 44.5,640,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,New Jersey,2012,Age,>=35 Years,40.7,33.2 to 48.6,202,NJ,2012,2305300,441100,1.958188556980744
Influenza,States,Mississippi,2020,Age,>=18 Years,48.1,43.9 to 52.3,954,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Race and Ethnicity,"Black, Non-Hispanic",40.7,34.6 to 47.0,490,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Age,>=35 Years,57.6,44.3 to 70.1,107,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Age,25-34 Years,53.1,47.4 to 58.7,499,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Age,18-24 Years,37.3,30.3 to 44.7,348,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Race and Ethnicity,Hispanic,NR*,NR*,NA,MS,2020,NA,NA,4.161118644978652
Influenza,States,Mississippi,2020,Race and Ethnicity,"White, Non-Hispanic",53.9,47.9 to 59.8,415,MS,2020,NA,NA,4.161118644978652
Influenza,States,Maryland,2012,Race and Ethnicity,"Black, Non-Hispanic",39.6,32.1 to 47.5,270,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2012,Race and Ethnicity,Hispanic,62.8,52.1 to 72.6,125,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2020,Race and Ethnicity,"Black, Non-Hispanic",59.2,50.9 to 67.1,265,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2012,Age,25-34 Years,49.9,44.7 to 55.1,533,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2012,Age,>=35 Years,50.5,40.8 to 60.2,167,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2020,Age,>=35 Years,69.6,62.2 to 76.4,290,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2020,Age,25-34 Years,74.6,69.8 to 79.0,551,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2020,Age,18-24 Years,58.3,46.4 to 69.5,130,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",40.2,29.5 to 51.6,114,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2012,Race and Ethnicity,"White, Non-Hispanic",51.4,45.5 to 57.3,394,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2020,Race and Ethnicity,"White, Non-Hispanic",74.6,68.5 to 80.1,383,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2012,Age,>=18 Years,47.9,43.9 to 51.9,906,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2012,Age,18-24 Years,41.0,32.8 to 49.6,206,MD,2012,1641700,231500,2.188766290436131
Influenza,States,Maryland,2020,Age,>=18 Years,70.5,66.6 to 74.1,971,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",82.6,71.8 to 90.6,119,MD,2020,NA,NA,2.188766290436131
Influenza,States,Maryland,2020,Race and Ethnicity,Hispanic,71.3,63.0 to 78.7,203,MD,2020,NA,NA,2.188766290436131
Tdap,States,New York,2016,Race and Ethnicity,"White, Non-Hispanic",58.2,53.0 to 63.3,408,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,"White, Non-Hispanic",52.5,47.0 to 58.0,365,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,"White, Non-Hispanic",58.1,52.7 to 63.4,382,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",75.7,68.6 to 81.9,212,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",72.2,65.0 to 78.6,203,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",71.5,64.2 to 78.1,235,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",72.6,64.7 to 79.6,213,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2020,Race and Ethnicity,Hispanic,71.4,64.9 to 77.3,287,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",57.1,49.5 to 64.4,208,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.5,55.4 to 71.1,178,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,Hispanic,69.3,63.8 to 74.5,345,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,Hispanic,67.8,61.5 to 73.6,290,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,Hispanic,71.0,64.9 to 76.6,307,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,Hispanic,73.1,67.1 to 78.6,299,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"Black, Non-Hispanic",69.6,61.0 to 77.3,184,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,"Black, Non-Hispanic",57.8,49.9 to 65.4,207,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2020,Race and Ethnicity,"Black, Non-Hispanic",60.4,51.1 to 69.2,190,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,Hispanic,65.1,59.1 to 70.8,314,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,"Black, Non-Hispanic",63.5,55.4 to 71.1,350,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,"Black, Non-Hispanic",58.6,50.8 to 66.1,208,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2016,Age,25-34 Years,59.6,55.5 to 63.6,667,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2018,Age,25-34 Years,70.7,66.4 to 74.7,692,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Age,25-34 Years,60.1,55.6 to 64.5,565,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2019,Age,25-34 Years,68.7,64.3 to 72.9,597,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2020,Age,25-34 Years,71.7,67.1 to 76.0,587,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2015,Age,25-34 Years,59.8,55.4 to 64.0,600,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2016,Age,>=35 Years,67.1,61.4 to 72.4,343,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2017,Age,>=35 Years,68.3,62.6 to 73.6,344,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2018,Age,>=35 Years,69.6,63.7 to 75.1,394,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2019,Age,>=35 Years,68.4,62.6 to 73.8,360,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,"Black, Non-Hispanic",56.0,48.5 to 63.3,230,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2015,Age,>=35 Years,60.8,54.5 to 66.8,298,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2020,Age,>=35 Years,67.8,61.1 to 74.0,318,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2016,Age,>=18 Years,60.8,57.7 to 63.8,1191,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2015,Age,>=18 Years,60.9,57.7 to 64.0,1082,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2018,Age,>=18 Years,67.7,64.5 to 70.8,1266,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Age,>=18 Years,61.5,58.3 to 64.7,1068,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2019,Age,>=18 Years,68.0,64.7 to 71.2,1090,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2020,Age,>=18 Years,67.2,63.6 to 70.6,1022,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2016,Age,18-24 Years,54.8,46.5 to 62.9,181,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2017,Age,18-24 Years,54.4,45.7 to 62.9,159,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2015,Age,18-24 Years,64.6,56.6 to 72.0,184,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2018,Age,18-24 Years,52.7,43.8 to 61.5,180,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2019,Age,18-24 Years,64.4,54.1 to 73.8,133,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2020,Age,18-24 Years,46.7,36.2 to 57.5,117,NY,2020,NA,NA,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,"White, Non-Hispanic",62.7,57.1 to 68.1,396,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"White, Non-Hispanic",60.6,54.7 to 66.3,366,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2020,Race and Ethnicity,"White, Non-Hispanic",64.0,57.6 to 70.0,331,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2022,Race and Ethnicity,"White, Non-Hispanic",50.0,44.1 to 55.9,371,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Race and Ethnicity,"Black, Non-Hispanic",37.8,30.2 to 45.8,244,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Race and Ethnicity,Hispanic,60.6,54.9 to 66.1,379,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",66.6,59.1 to 73.5,245,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Race and Ethnicity,"White, Non-Hispanic",59.6,53.4 to 65.6,345,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Race and Ethnicity,"Black, Non-Hispanic",64.1,55.9 to 71.8,228,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Race and Ethnicity,Hispanic,70.7,64.7 to 76.2,320,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.1,61.3 to 76.2,225,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Age,18-24 Years,42.8,33.2 to 52.8,136,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Age,25-34 Years,55.1,50.8 to 59.3,718,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Age,18-24 Years,56.1,45.0 to 66.7,117,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Age,25-34 Years,64.8,60.3 to 69.1,640,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Age,>=18 Years,54.0,50.7 to 57.2,1247,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2022,Age,>=35 Years,57.1,51.2 to 62.8,393,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Age,>=18 Years,65.5,62.1 to 68.8,1123,NY,2022,5557100,314700,1.936337735071505
Tdap,States,New York,2022,Age,>=35 Years,70.9,65.1 to 76.3,366,NY,2022,5557100,314700,1.936337735071505
Influenza,States,New York,2020,Race and Ethnicity,"Black, Non-Hispanic",48.1,39.8 to 56.5,227,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2012,Race and Ethnicity,"Black, Non-Hispanic",26.5,20.1 to 33.7,308,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2012,Race and Ethnicity,Hispanic,41.4,35.6 to 47.4,454,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2020,Age,18-24 Years,58.0,48.6 to 67.0,153,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2020,Age,25-34 Years,67.1,62.7 to 71.3,653,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2020,Age,>=35 Years,64.7,58.3 to 70.7,353,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2012,Age,25-34 Years,37.7,33.4 to 42.1,741,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2012,Age,>=35 Years,45.6,39.2 to 52.2,389,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2020,Race and Ethnicity,"White, Non-Hispanic",65.5,59.5 to 71.2,358,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",37.6,30.4 to 45.2,253,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2012,Race and Ethnicity,"White, Non-Hispanic",40.8,35.3 to 46.4,420,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2020,Race and Ethnicity,Hispanic,71.1,65.3 to 76.5,341,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.8,63.2 to 77.6,232,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2020,Age,>=18 Years,65.0,61.7 to 68.2,1159,NY,2020,NA,NA,1.936337735071505
Influenza,States,New York,2012,Age,>=18 Years,37.8,34.7 to 41.0,1436,NY,2012,5357300,798400,1.936337735071505
Influenza,States,New York,2012,Age,18-24 Years,29.5,23.4 to 36.1,306,NY,2012,5357300,798400,1.936337735071505
Influenza,States,Mississippi,2021,Race and Ethnicity,"White, Non-Hispanic",47.3,41.1 to 53.5,366,MS,2021,727700,134500,4.161118644978652
Influenza,States,Mississippi,2021,Race and Ethnicity,"Black, Non-Hispanic",28.3,22.8 to 34.3,423,MS,2021,727700,134500,4.161118644978652
Influenza,States,Mississippi,2021,Race and Ethnicity,Hispanic,NR*,NR*,41,MS,2021,727700,134500,4.161118644978652
Influenza,States,Mississippi,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,MS,2021,727700,134500,4.161118644978652
Tdap,States,Mississippi,2021,Race and Ethnicity,"White, Non-Hispanic",62.6,56.3 to 68.6,344,MS,2021,727700,134500,4.161118644978652
Tdap,States,Mississippi,2021,Race and Ethnicity,"Black, Non-Hispanic",54.2,47.6 to 60.7,395,MS,2021,727700,134500,4.161118644978652
Tdap,States,Mississippi,2021,Race and Ethnicity,Hispanic,NR*,NR*,36,MS,2021,727700,134500,4.161118644978652
